wmc,dit,noc,cbo,rfc,lcom,loc,bug
5,7,0,8,52,2,372,False
7,6,0,6,36,3,508,False
17,1,0,5,17,136,17,False
8,1,2,18,27,0,155,False
40,4,0,14,106,606,1100,True
2,2,0,16,27,1,227,False
2,1,0,4,2,1,2,False
3,1,0,13,34,1,227,False
8,2,0,9,56,12,386,False
3,2,0,4,9,1,71,False
23,1,0,34,118,239,2050,False
36,1,4,40,88,534,725,True
4,1,0,2,15,0,54,False
5,1,0,4,17,0,130,False
12,1,0,3,25,0,218,False
2,1,0,2,3,1,16,False
4,1,0,5,4,6,4,False
5,3,0,4,18,8,176,False
13,1,0,13,13,78,13,False
11,1,0,7,22,43,364,True
9,5,0,11,58,20,308,True
12,6,0,12,62,38,334,True
11,1,0,2,17,0,383,False
18,5,0,17,98,123,639,False
11,6,0,8,53,25,349,False
1,2,0,12,2,0,5,False
19,1,0,13,99,61,777,False
31,1,0,3,44,139,1283,False
13,6,0,9,38,62,177,True
9,1,2,8,12,28,91,False
3,1,0,11,29,3,157,False
6,1,1,10,16,11,183,True
5,6,0,8,45,0,318,False
3,1,0,29,3,3,4,False
13,1,3,13,34,52,168,False
23,5,0,38,113,153,1127,False
13,1,0,17,30,26,278,True
11,1,0,11,57,23,513,False
15,1,0,11,50,105,896,True
5,1,0,3,12,0,272,False
16,1,0,112,50,62,456,False
4,1,0,3,5,6,15,False
5,6,0,3,29,8,109,False
11,2,0,7,28,25,161,False
7,7,1,7,41,21,220,False
24,6,0,9,80,240,564,False
58,1,0,123,174,1621,1911,True
3,1,0,7,12,1,261,True
8,6,0,5,31,20,121,False
6,1,0,6,9,15,34,False
20,5,0,18,84,118,499,True
3,1,0,3,8,0,24,False
13,2,0,1,20,30,115,False
27,1,0,37,96,219,927,False
3,1,0,12,18,3,89,False
9,1,0,6,18,0,368,False
10,5,0,14,73,29,358,False
7,1,0,6,52,1,341,False
11,2,0,22,57,53,455,False
4,2,0,15,22,6,119,False
8,1,0,13,17,22,160,False
12,7,0,23,97,32,569,True
11,1,0,3,17,0,514,False
3,2,0,11,17,3,149,False
18,7,2,15,120,117,897,False
6,7,0,8,36,1,219,False
24,1,0,1,41,198,749,False
1,1,0,5,1,0,1,False
12,1,0,9,24,26,182,False
10,5,0,5,42,43,219,True
5,2,0,11,24,10,309,False
5,7,0,6,45,2,368,False
5,2,0,5,29,2,198,False
3,6,0,2,17,1,303,False
7,1,1,8,19,21,70,False
19,1,0,20,88,123,783,True
5,1,1,14,13,10,34,False
